"","ST_CASE","VEH_NO","HIT_RUNNAME","NUMOCCSNAME","L_STATENAME","SPEEDRELNAME","VSPD_LIM"
"341",10237,1,"No","01","Alabama","Unknown",45
"342",10238,1,"No","03","Georgia","No",70
"343",10239,1,"No","01","Alabama","No",45
"344",10240,1,"No","01","Alabama","No",55
"345",10240,2,"No","01","Alabama","No",55
"346",10240,3,"No","02","Alabama","No",55
"347",10241,1,"No","02","Alabama","No",45
"348",10241,2,"No","01","Alabama","No",55
"349",10242,1,"No","02","Alabama","Yes, Exceeded Speed Limit",40
"350",10243,1,"No","02","Alabama","No",45
"351",10244,1,"No","02","Unknown","Yes, Exceeded Speed Limit",55
"352",10245,1,"No","01","Alabama","No",55
"353",10246,1,"No","01","Alabama","No",45
"354",10247,1,"No","01","Alabama","No",40
"355",10248,1,"No","01","Alabama","Yes, Too Fast for Conditions",45
"356",10249,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"357",10249,2,"No","02","Alabama","No",55
"358",10250,1,"No","01","Alabama","No",45
"359",10251,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"360",10252,1,"No","01","Alabama","No",45
"361",10252,2,"No","01","Alabama","No",45
"362",10253,1,"No","01","Alabama","No",45
"363",10254,1,"No","01","Florida","No",35
"364",10255,1,"No","06","Alabama","No",35
"365",10255,2,"No","01","Georgia","No",35
"366",10256,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"367",10256,2,"No","02","Alabama","Yes, Exceeded Speed Limit",40
"368",10257,1,"No","02","Alabama","No",35
"369",10258,1,"No","01","Alabama","No",35
"370",10259,1,"No","01","Alabama","No",45
"371",10259,2,"No","02","Alabama","No",45
"372",10260,1,"No","01","Alabama","Unknown",30
"373",10261,1,"Yes","01","Florida","Unknown",45
"374",10261,2,"No","02","Florida","No",45
"375",10262,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"376",10263,1,"No","01","Alabama","No",55
"377",10263,2,"No","01","Alabama","No",55
"378",10264,1,"No","01","Alabama","No",70
"379",10265,1,"No","01","Virginia","No",70
"380",10266,1,"No","02","Tennessee","No",70
"381",10266,2,"No","01","Tennessee","No",70
"382",10267,1,"No","01","Alabama","No",70
"383",10267,2,"No","01","Georgia","No",70
"384",10268,1,"No","01","Alabama","Unknown",70
"385",10269,1,"No","01","Alabama","No",55
"386",10269,2,"No","03","Alabama","No",55
"387",10269,3,"No","02","Georgia","No",55
"388",10270,1,"No","01","Alabama","Yes, Exceeded Speed Limit",70
"389",10270,2,"Unknown","01","Not Reported","No",70
"390",10271,1,"No","02","Georgia","No",70
"391",10272,1,"No","01","Alabama","No",40
"392",10273,1,"No","01","Alabama","No",60
"393",10273,2,"No","01","Alabama","No",60
"394",10274,1,"No","02","Alabama","Yes, Too Fast for Conditions",70
"395",10274,2,"No","01","Georgia","No",70
"396",10275,1,"No","01","Mississippi","Unknown",98
"397",10276,1,"No","01","Georgia","Yes, Exceeded Speed Limit",55
"398",10277,1,"No","01","Alabama","No",50
"399",10278,1,"No","02","Alabama","Yes, Exceeded Speed Limit",45
"400",10279,1,"No","01","Alabama","No",35
"401",10280,1,"No","01","Alabama","No",55
"402",10280,2,"No","01","Alabama","No",55
"403",10281,1,"No","01","Oklahoma","Yes, Exceeded Speed Limit",55
"404",10282,1,"No","01","Alabama","No",55
"405",10282,2,"No","02","Alabama","No",55
"406",10282,3,"No","03","Alabama","No",55
"407",10283,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"408",10284,1,"No","01","Alabama","Yes, Too Fast for Conditions",30
"409",10285,1,"No","01","Alabama","Unknown",55
"410",10285,2,"No","01","Alabama","No",55
"411",10286,1,"No","02","Alabama","No",30
"412",10287,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"413",10287,2,"No","03","Georgia","No",45
"414",10288,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"415",10288,2,"No","02","Alabama","No",55
"416",10289,1,"Yes","01","Alabama","Unknown",25
"417",10290,1,"Yes","02","Alabama","Unknown",45
"418",10290,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",45
"419",10291,1,"No","01","Alabama","Unknown",55
"420",10292,1,"No","01","Alabama","No",55
"421",10292,2,"No","04","Alabama","No",55
"422",10293,1,"No","01","Alabama","No",55
"423",10294,1,"No","01","Alabama","No",65
"424",10295,1,"No","01","Alabama","No",55
"425",10295,2,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",55
"426",10295,3,"No","None","No Driver Present/Unknown if Driver Present","No Driver Present/Unknown if Driver Present",55
"427",10296,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"428",10298,1,"No","01","Alabama","No",55
"429",10298,2,"No","01","Alabama","No",55
"430",10299,1,"No","01","Alabama","No",45
"431",10299,2,"No","01","Alabama","No",45
"432",10300,1,"No","02","Alabama","Yes, Exceeded Speed Limit",35
"433",10301,1,"No","02","Alabama","No",45
"434",10302,1,"No","01","Alabama","No",45
"435",10302,2,"No","01","Alabama","No",45
"436",10303,1,"No","01","Alabama","Unknown",40
"437",10304,1,"No","03","Alabama","Yes, Exceeded Speed Limit",55
"438",10305,1,"No","02","Alabama","No",55
"439",10305,2,"No","01","Alabama","No",55
"440",10306,1,"No","02","Alabama","No",98
"441",10306,2,"No","06","Unknown","No",98
"442",10307,1,"No","01","Alabama","No",55
"443",10307,2,"No","01","Alabama","No",55
"444",10307,3,"No","01","Alabama","No",55
"445",10308,1,"No","01","Alabama","No",65
"446",10308,2,"No","01","Alabama","No",65
"447",10309,1,"No","01","South Carolina","No",55
"448",10309,2,"No","01","Alabama","No",55
"449",10310,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"450",10311,1,"No","01","Alabama","Yes, Too Fast for Conditions",55
"451",10311,2,"No","01","Alabama","No",55
"452",10312,1,"No","01","Alabama","Unknown",45
"453",10312,2,"No","01","Alabama","No",45
"454",10313,1,"No","01","Alabama","Unknown",45
"455",10313,2,"No","01","Alabama","No",45
"456",10314,1,"No","04","Alabama","Unknown",55
"457",10314,2,"No","01","Alabama","Unknown",55
"458",10315,1,"No","01","Alabama","Unknown",55
"459",10316,1,"No","01","Alabama","No",65
"460",10316,2,"No","02","Alabama","No",65
"461",10317,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"462",10317,2,"No","02","Mississippi","No",40
"463",10318,1,"No","01","Alabama","No",55
"464",10319,1,"No","02","Alabama","Yes, Too Fast for Conditions",30
"465",10320,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"466",10321,1,"No","01","Alabama","No",45
"467",10321,2,"No","02","Alabama","No",45
"468",10322,1,"No","01","Alabama","No",98
"469",10323,1,"No","01","Alabama","Yes, Too Fast for Conditions",40
"470",10324,1,"No","03","Alabama","No",35
"471",10325,1,"No","01","Alabama","No",45
"472",10325,2,"No","01","Alabama","Unknown",45
"473",10326,1,"No","01","Alabama","Unknown",0
"474",10326,2,"No","01","Georgia","No",98
"475",10327,1,"No","01","Alabama","No",25
"476",10328,1,"No","01","Alabama","No",55
"477",10328,2,"No","01","Alabama","No",55
"478",10329,1,"No","01","Alabama","Unknown",50
"479",10330,1,"No","01","Alabama","Unknown",35
"480",10330,2,"No","03","Alabama","Unknown",35
"481",10331,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"482",10331,2,"No","01","Alabama","No",55
"483",10332,1,"No","05","Alabama","Yes, Exceeded Speed Limit",35
"484",10333,1,"No","02","Georgia","Yes, Exceeded Speed Limit",30
"485",10333,2,"No","02","Alabama","No",30
"486",10334,1,"No","01","Alabama","Yes, Exceeded Speed Limit",30
"487",10335,1,"No","02","Alabama","No",55
"488",10336,1,"No","01","Alabama","No",35
"489",10337,1,"No","01","Alabama","No",55
"490",10338,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"491",10339,1,"No","01","Alabama","No",40
"492",10340,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"493",10341,1,"Yes","Unknown","Unknown","Unknown",55
"494",10342,1,"No","01","Alabama","Unknown",55
"495",10342,2,"No","01","Alabama","No",55
"496",10343,1,"Yes","03","Alabama","Unknown",45
"497",10343,2,"No","02","Alabama","No",40
"498",10344,1,"No","02","Georgia","No",65
"499",10345,1,"Yes","01","Alabama","Yes, Exceeded Speed Limit",25
"500",10345,2,"No","01","Alabama","No",25
"501",10346,1,"No","01","Alabama","Yes, Exceeded Speed Limit",50
"502",10346,2,"No","01","Alabama","No",50
"503",10347,1,"No","02","Alabama","No",55
"504",10347,2,"No","04","Alabama","No",55
"505",10348,1,"No","01","Alabama","Unknown",40
"506",10348,2,"No","02","Alabama","No",40
"507",10349,1,"No","03","Alabama","No",55
"508",10349,2,"No","02","Alabama","No",55
"509",10349,3,"No","03","Tennessee","No",55
"510",10349,4,"No","01","Alabama","No",55
"511",10350,1,"No","01","Alabama","Yes, Exceeded Speed Limit",35
"512",10350,2,"No","01","Alabama","No",35
"513",10351,1,"No","01","Alabama","No",45
"514",10352,1,"No","02","Alabama","Unknown",55
"515",10353,1,"No","02","Unknown","Unknown",45
"516",10353,2,"No","01","Alabama","No",45
"517",10354,1,"No","01","Alabama","Yes, Exceeded Speed Limit",55
"518",10355,1,"No","01","Alabama","Yes, Too Fast for Conditions",65
"519",10355,2,"No","03","Alabama","No",65
"520",10355,3,"No","03","Alabama","No",65
"521",10356,1,"No","01","Tennessee","Yes, Exceeded Speed Limit",45
"522",10357,1,"No","01","Alabama","No",25
"523",10358,1,"No","01","Alabama","Yes, Exceeded Speed Limit",40
"524",10359,1,"No","01","Alabama","No",65
"525",10360,1,"No","01","Alabama","No",35
"526",10361,1,"No","01","Alabama","No",45
"527",10362,1,"No","01","Alabama","No",65
"528",10363,1,"No","01","Alabama","No",45
"529",10363,2,"No","02","Alabama","No",55
"530",10364,1,"No","02","Alabama","Yes, Exceeded Speed Limit",55
"531",10365,1,"No","04","Louisiana","Unknown",45
"532",10365,2,"No","01","Alabama","No",45
"533",10366,1,"No","01","Alabama","No",30
"534",10367,1,"No","01","Alabama","No",45
"535",10368,1,"No","01","Georgia","No",55
"536",10369,1,"No","01","Alabama","Unknown",65
"537",10369,2,"No","01","Alabama","No",65
"538",10370,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
"539",10371,1,"No","02","Alabama","No",45
"540",10371,2,"No","01","Alabama","No",45
"541",10372,1,"No","01","Alabama","No",25
"542",10373,1,"No","01","Alabama","Yes, Exceeded Speed Limit",45
